from_spec_id,to_spec_id,link_type
7d8256f3-9e44-40ad-8a12-af612f2744ae,208169dd-b222-4fbd-9934-05d70f7a18e4,child
8222b0dc-98d7-4798-a776-f8fbc156863e,208169dd-b222-4fbd-9934-05d70f7a18e4,child
f76c1340-177a-4352-b2e8-944b6ef6c11a,d8f2fa83-acbd-47a7-9938-8f8066ab8c6a,child
b5326b89-fb18-4326-9e3b-12e4d5c008cc,d8f2fa83-acbd-47a7-9938-8f8066ab8c6a,child
19d35c88-1bcb-401d-b6c9-354b5973999c,d8f2fa83-acbd-47a7-9938-8f8066ab8c6a,child
d231c582-fad2-4bab-8352-eef2f46187f8,a9239511-cbac-4375-b64e-51eb647dcbe5,child
d8f2fa83-acbd-47a7-9938-8f8066ab8c6a,a9239511-cbac-4375-b64e-51eb647dcbe5,child
edddd0ac-1c76-4422-85e3-b547fe3dbcdc,22703eef-9164-436b-9b3b-8c95fa8d46e8,child
845504b7-eb55-4207-af8f-a27ba79a5906,6f5ecdd9-96c1-4957-976c-7a9b23cec49e,child
6f5ecdd9-96c1-4957-976c-7a9b23cec49e,a9239511-cbac-4375-b64e-51eb647dcbe5,child
35d02aa5-0fd2-455e-a955-a589f0af5f0a,22703eef-9164-436b-9b3b-8c95fa8d46e8,child
